abandoned industrial site	Site that cannot be used for any purpose, being contaminated by pollutants.
watercourse	A natural stream arising in a given drainage basin but not wholly dependent for its flow on surface drainage in its immediate area, flowing in a channel with a well-defined bed between visible banks or through a definite depression in the land, having a definite and permanent or periodic supply of water, and usually, but not necessarily, having a perceptible current in a particular direction and discharging at a fixed point into another body of water.
water distribution system	The system of pipes supplying water to communities and industries.
water erosion	The breakdown of solid rock into smaller particles and its removal by water.
waterfall	A perpendicular or steep descent of the water of a stream.
water flea	A fresh-water branchiopod crustacean of the genus Daphnia characterized by a transparent bivalve shell.
hydrologic flow	The characteristic behaviour and the total quantity of water involved in a drainage basin, determined by measuring such quantities as rainfall, surface and subsurface storage and flow, and evapotranspiration.
water for consumption	Consumptive water use starts with withdrawal, but in this case without any return, e.g. irrigation, steam escaping into the atmosphere, water contained in final products, i.e. it is no longer available directly for subsequent use.
waterfowl	Aquatic birds which constitute the order Anseriformes, including the swans, ducks, geese, and screamers.
water hardness	The amount of calcium and magnesium salts dissolved in water.
water hyacinth	Floating aquatic plant, Eichhornia crassipes of tropical America, having showy bluish-purple flowers and swollen leafstalks: family Pontederiaceae. It forms dense masses in rivers, ponds, etc., and is a serious pest in the southern U.S., Java, Australia, New Zealand, and parts of Africa.
water level	The level reached by the surface of a body of water.
water pollutant	A chemical or physical agent introduced to any body of water that may detrimentally alter the natural condition of that body of water and other associated bodies of water.
water pollution	The manmade or man-induced alteration of the chemical, physical, biological and radiological integrity of water.
water pollution prevention	Precautionary measures, actions or installations implemented to avert or hinder human-made or human-induced alteration of the physical, biological, chemical and radiological integrity of water.
water protection	Measures to conserve surface and groundwater; to ensure the continued availability of water for growing domestic, commercial and industrial uses and to ensure sufficient water for natural ecosystems.
water pump	A machine or apparatus used to lift water, usually from a well or borehole, which is powered manually or by engine, wind or some other source.
water purification	Any of several processes in which undesirable impurities in water are removed or neutralized.
water quality	A graded value of the components (organic and inorganic, chemical or physical) which comprise the nature of water.
water quality management	Water quality management concerns four major elements: the use (recreation, drinking water, fish and wildlife propagation, industrial or agricultural) to be made of the water; criteria to protect those uses; implementation plans (for needed industrial-municipal waste treatment improvements) and enforcement plans, and an anti-degradation statement to protect existing high quality waters.
water salination	Process by which water becomes more salty, found especially in hot countries where irrigation is practised.
water science	The science that treats the occurrence, circulation, distribution, and properties of the waters of the earth, and their reaction with the environment.
watershed	The dividing line between two adjacent river systems, such as a ridge.
water supply	A source or volume of water available for use; also, the system of reservoirs, wells, conduits, and treatment facilities required to make the water available and usable.
water transportation	Transportation of goods or persons by means of ships travelling on the sea or on inland waterways.
water treatment	Purification of water to make it suitable for drinking or for any other use.
waterway	A river, canal, or other navigable channel used as a means of travel or transport.
water well	A well sunk to extract water from a zone of saturation.
waterworks	Plant for treating and purifying water before it is pumped into pipes for distribution to houses, factories, schools, etc.
wave energy	Power extracted from the motion of sea waves at the coast.
sea wave	A moving ridge or swell of water occurring close to the surface of the sea, characterized by oscillating and rising and falling movements, often as a result of the frictional drag of the wind.
weapon	An instrument of attack or defense in combat, as a gun, missile, or sword.
weather	The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.
weather condition	The complex of meteorological characteristics in a given region.
weather modification	The changing of natural weather phenomena by technical means.
weather monitoring	The periodic or continuous surveillance or analysis of the state of the atmosphere and climate, including variables such as temperature, moisture, wind velocity and barometric pressure.
weather forecasting	The act or process of predicting and highlighting meteorological conditions that are expected for a specific time period and for a specific area or portion of air space, by using objective models based on certain atmospheric parameters, along with the skill and experience of a meteorologist.
weed	Any plant that grows wild and profusely, especially one that grows among cultivated plants, depriving them of space, food, etc.
weight	The gravitational force with which the earth attracts a body. By extension, the gravitational force with which a star, planet, or satellite attracts a nearby body.
welding	Joining two metals by applying heat to melt and fuse them, with or without filler metal.
well	A hole dug into the earth to reach a supply of water, oil, brine or gas.
West Africa	A geographic region of the African continent bordered in the west and south by the Atlantic Ocean, including the republics of Benin, Burkina Faso, Cape Verde, Ivory Coast, Gambia, Ghana, Guinea-Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone and Togo.
Western Asia	A geographic region of Asia that includes Turkey, Iran and other countries of the Middle East and the Arabian peninsula.
Western Europe	A geographic region of the European continent surrounded by the North Sea, Atlantic Ocean and the Mediterranean Sea, including Belgium, France, Germany, Great Britain, Greece, Italy, Luxembourg, Netherlands, Portugal, Spain and other member countries of the Western European Union.
wetland	Area that is inundated by surface or ground water with frequency sufficient to support a prevalence of vegetative or aquatic life that requires saturated or seasonally saturated soil conditions for growth or reproduction.
wet scrubber	An air cleaning device that literally washes out the dust. Exhaust air is forced into a spray chamber, where fine water particles cause the dust to drop from the air stream. The dust-ladden water is then treated to remove the solid material and is often recirculated.
whale	Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures.
whaling	Catching whales to use as food or for their oil, etc.
wholesale trade	The business of selling goods to retailers in larger quantities than they are sold to final consumers but in smaller quantities than they are purchased from manufacturers.
wild animal	A non-domesticated animal living independently of man.
wildlife	All non-domesticated plants, animals and other organisms living in the wild.
wildlife sanctuary	An area designated for the protection of wild animals.
wild plant	A non-domesticated plant.
wind	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.
wind erosion	The breakdown of solid rock into smaller particles and its removal by wind.
windmill	A machine for grinding or pumping driven by a set of adjustable vanes or sails that are caused to turn by the force of the wind.
wind power	Energy extracted from wind, traditionally in a windmill, but increasingly by more complicated designes including turbines, usually to produce electricity but also for water pumping.
wind power station	Power station which uses wind to drive a turbine which creates electricity.
woman	An adult human member of the sex that produces ova and bears young.
woman's status	The social position, rank or relative importance of women in society.
timber	A wood, especially when regarded as a construction material.
wood	An area where trees grow, where there are, no streets, no buildings, no agriculture beyond growing trees.
woodland clearance	The permanent clear-felling of an area of forest or woodland.
wood preservation	The use of chemicals to prevent or retard the decay of wood, especially by fungi or insects; widely used preservatives include creosote, pitch, sodium fluoride and tar; especially used on wood having contact with the ground.
wood waste	Waste which is left over after the processing of raw timber.
wool	The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.
work accident	Accident occurring in the course of the employment and caused by inherent or related factors arising from the operation of materials of one's occupation.
working condition	All existing circumstances affecting labor in the workplace, including job hours, physical aspects, legal rights and responsibilities.
working hours	The time devoted to gainful employment or job-related activities, usually calculated as hours per day or per week.
workplace	Any or all locations or environments where people are employed.
world	The Earth with all its inhabitants and all things upon it.
world heritage site	Site of great cultural significance and geographic areas of outstanding universal value, for example the Pyramids of Egypt, the historical centre of Rome, the Grand Canyon of United States, Venice, the Taj Mahal of India, the Great Wall of China.
write-off	Accounting procedure that is used when an asset is uncollectible and is therefore charged-off as a loss.
X ray	Short wavelength electromagnetic wave usually produced by bombarding a metal target in a vacuum.
yeast	Many species of unicellular fungi, most of which belong to the Ascomycetes and reproduce by budding. The genus Saccharomyces is used in brewing and winemaking because in low oxygen concentration it produces zymase, an enzyme system that breaks down sugars to alcohol and carbon dioxide. Saccharomyces is also used in bread-making. Some yeasts are used as a source of protein and of vitamins of the B group.
infant	A young child in the first years of life.
youth	The state of being young.
youth work	Job opportunities and employment for adolescents, either for financial reward or educational enrichment.
zinc	Chemical element with symbol Zn and atomic number 30; a brittle bluish-white metallic element that becomes coated with a corrosion-resistant layer in moist air and occurs chiefly in sphalerite and smithsonite.
zoning	Designation and reservation under a master plan of land use for light and heavy industry, dwellings, offices, and other buildings.
zoological garden	Area in which animals, especially wild animals, are kept so that people can go and look at them, or study them.
zoology	The study of animals, including their classification, structure, physiology, and history.
zoonosis	Infectious disease that is able to be transmitted from animals to humans or from humans to animals.
accounting	Method of recording all the transactions affecting the financial condition of a business or organization.
animal life	All of the animal life of any particular region or time.
consumer product	Economic good that directly satisfies human wants or desires.
human body	The entire physical structure of an human being.
human science	Group of sciences including sociology, anthropology, psychology, pedagogy, etc. as opposed to the humanistic group.
juridical act	An act relating to the administration of justice.
physical chemistry	A science dealing with the effects of physical phenomena on chemical properties.
plant life	The plants that inhabit a certain region or environment.
risk management	The process of evaluating and selecting alternative regulatory and non-regulatory responses to prepare for the probability of an accidental occurrence and its expected magnitude of damage, including the consideration of legal, economic and behavioral factors.
safety system	A unified, coordinated assemblage or plan of procedures and devices intended to lower the occurrence or risk of injury, loss and danger to persons, property or the environment.
social science	The study of society and of the relationship of individual members within society, including economics, history, political science, psychology, anthropology, and sociology.
promotion of trade and industry	Any activity that encourages or supports the buying, selling or exchanging of goods or services with other countries, which could include marketing, diplomatic pressure or the provision of export incentives such as credits and guarantees, government subsidies, training and consultation or advice.
masonry	A construction of stone or similar materials such as concrete or brick.
sand flat	A flat, marshy or barren tract of land that is alternately covered and uncovered by the tide, and consisting of unconsolidated sediment (mostly mud and sand).
animal species	Species belonging to the animal kingdom.
plant species	Species belonging to the plant kingdom.
occupation	Productive activity, service, trade, or craft for which one is regularly paid.
folk tradition	The common beliefs, practices, customs and other cultural elements of an ethnic or social group that are rooted in the past, but are persisting into the present due to means such as arts and crafts, songs and music, dance, foods, drama, storytelling and certain forms of oral communication.
law branch	A subdivision of the body of principles and regulations established by a government or other authority, generally defined by its scope or application.
judicial system	Entire network of courts in a particular jurisdiction.
measuring instrument	Instrument that shows the extent or amount or quantity or degree of something.
major risk	The high probability that a given hazard or situation will yield a significant amount of lives lost, persons injured, damage to property , disruption of economic activity or harm to the environment; or any product of the probability of occurrence and the expected magnitude of damage beyond a maximum acceptable level.
rescue system	Any series of procedures and devices used by trained personnel to provide immediate assistance to persons who are in danger or injured.
tax system	A co-ordinated body of methods or plan of procedures for levying compulsory charges for the purpose of raising revenue.
forest ecology	The science that deals with the relationship of forest trees to their environment, to one another, and to other plants and to animals in the forest.
urban ecology	Concept derived from biology in which the city is viewed as a total environment, as a life-supporting system for the large number of people concentrated there, and within this people organize themselves and adapt to a constantly changing environment. Regarded as the same as human ecology.
ecozone	A broad geographic area in which there are distinctive climate patterns, ocean conditions, types of landscapes and species of plants and animals.
environmental engineering	Branch of engineering concerned with the environment and its proper management. The major environmental engineering disciplines regard water supply, wastewater, stormwater, solid waste, hazardous waste, noise radiology, industrial hygiene, oceanography and the like.
altitude	In general, a term used to describe a topographic eminence.
cove	A deep recess hollow, or nook in a cliff or steep mountainside, or a small, straight valley extending into a mountain or down a mountainside.
canyon	A long deep, relatively narrow steep-sided valley confined between lofty and precipitous walls in a plateau or mountainous area, often with a stream at the bottom; similar to, but largest than, a gorge. It is characteristic of an arid or semiarid area (such as western U.S.) where stream downcutting greatly exceeds weathering.
geographic circque	A deep steep-walled half-bowl-like recess or hollow, variously described as horseshoe- or crescent-shaped or semi-circular in plan, situated high on the side of a mountain and commonly at the head of a glacial valley and produced by the erosive activity of a mountain glacier. It often contains a small round lake, and it may or may not be occupied by ice or snow.
continent	A protuberance of the Earth's crustal shell, with an area of several million square miles and sufficient elevation so that much of it above sea level.
creek	A narrow inlet or bay, especially of the sea.
fault	A fracture or a zone of fractures along which there has been displacement of the sides relative to one another parallel to the fracture.
cliff	A steep coastal declivity which may or may not be precipitous, the slope angle being dependent partly on the jointing, bedding and hardness of the materials from which the cliff has been formed, and partly on the erosional processes at work. Where wave attack is dominant the cliff-foot will be rapidly eroded and cliff retreat will take place, especially in unconsolidated materials such as clays, sands, etc., frequently leaving behind an abrasion platform at the foot of the cliff.
open sea	The high seas lying outside the exclusive economic zones of states. All states have equal rights to navigate, to overfly, to lay submarine cables, to construct artificial islands, to fish, and to conduct scientific research within the high seas.
coral reef lagoon	A coastal stretch of shallow saltwater virtually cut off from the open sea by a coral reef.
river bed	The channel containing or formerly containing the water of a river.
barrier reef	An elongated accumulation of coral lying at low-tide level parallel to the coast but separated from it by a wide and deep lagoon or strait.
marine park	A permanent reservation on the seabed for the conservation of species.
reserve	Any area of land or water that has been set aside for a special purpose, often to prevent or reduce harm to its wildlife and ecosystems.
alignment	The selection and detailed layout of public transport routes in the light of construction, operation, service, technology, and economic criteria.
bocage	The wooded countryside characteristic of northern France, with small irregular-shaped fields and many hedges and copses. In the French language the word bocage refers both to the hedge itself and to a landscape consisting of hedges. Bocage landscapes usually have a slightly rolling landform, and are found mainly in maritime climates. Being a small-scale, enclosed landscape, the bocage offers much variations in biotopes, with habitats for birds, small mammals, amphibians, reptiles and butterflies.
French formal garden	A style of garden displaying symmetry and geometrical patterns.
English garden	A plot of ground consisting of an orderly and balanced arrangement of masses of flowers, shrubs and trees, following British traditions or style.
site protection	Precautionary actions, procedures or installations undertaken to prevent or reduce harm to the environmental integrity of a physical area or location.
coast protection	A form of environmental management designed to allay the progressive degradation of the land by coastal erosion processes.
environmental citizenship	The state, character or behavior of a person viewed as a member of the ecosystem with attendant rights and responsibilities, especially the responsibility to maintain ecological integrity and the right to exist in a healthy environment.
sponsorship	A person, firm, organization, etc. that provides or pledges money for an undertaking or event.
migratory fish	Fishes that migrate in a body, often between breeding places and winter feeding grounds.
marine mammal	A diverse group of roughly 120 species of mammal that are primarily ocean-dwelling or depend on the ocean for food.
ovine	Horned ruminant mammals raised in many breeds for wool, edible flesh, or skin.
shelter	Cover or protection, as from weather or danger; place of refuge.
nesting area	A place where birds gather to lay eggs.
spawning ground	Area of water where fish come each year to produce their eggs.
nesting	The building of nests for egg laying and rearing of offspring.
animal population	A group of animals inhabiting a given area.
animal reproduction	Any of various processes, either sexual or asexual, by which an animal produces one or more individuals similar to itself.
survival	The act or fact of surviving or condition of having survived.
endemic species	Species native to, and restricted to, a particular geographical region.
broad-leaved tree	Deciduous tree which has wide leaves, as opposed to the needles on conifers.
sea grass bed	Seaweeds communities formed by green, brown and red macroscopic algae and by sea phanerogams such as Posidonia oceanica and Zostera noltii, etc.
macrophyte	A large macroscopic plant, used especially of aquatic forms such as kelp (variety of large brown seaweed which is a source of iodine and potash).
riverside vegetation	Plants growing in areas adjacent to rivers and streams.
chestnut	Any north temperate fagaceous tree of the genus Castanea, such as Castanea sativa, which produce flowers in long catkins and nuts in a prickly bur.
vegetation level	A subdivision of vegetation characteristic of a certain altitude above sea level at a given latitude.
plant population	The number of plants in an area.
arboretum	Collection of trees from different parts of the world, grown for scientific study.
chorology	The study of the causal relations between geographical phenomena occurring within a particular region.
botanical conservatory	Gardens for the conservation of rare species of plants.
plant heritage	The sum of the earth's or a particular region's herb, vegetable, shrub and tree life viewed as the inheritance of the present generation, especially plant species deemed worthy of preservation and protection from extinction.
pruning	The cutting off or removal of dead or living parts or branches of a plant to improve shape or growth.
mountain forest	An extensive area of woodland that is found at natural elevations usually higher than 2000 feet.
state forest	Forest owned and managed by the State.
Mediterranean forest	Type of forest found in the Mediterranean area comprising mainly xerophilous evergreen trees.
private forest	A privately owned forest.
maquis	A low evergreen shrub formation, usually found on siliceous soils in the Mediterranean lands where winter rainfall and summer drought are the characteristic climate features.
nursery garden	A place where plants are propagated and nurtured until they reach a size appropriate for replanting at another location.
forest protection	Branch of forestry concerned with the prevention and control of damage to forests arising from the action of people or livestock, of pests and abiotic agents.
resinous plant	A plant yielding or producing resin.
big game	Large wild animals that weigh typically more than 30 lb when fully grown, hunted for food, sport or profit.
shellfish farming	Raising of shellfish in inland waters, estuaries or coastal waters, for commercial purposes.
oyster farming	Raising oysters for human consumption.
competitive examination	A test given to a candidate for a certificate or a position and concerned typically with problems to be solved, skills to be demonstrated, or tasks to be performed.
initial training	Any education, instruction or discipline occurring at the beginning of an activity, task, occupation or life span.
pedagogy	The principles, practice, or profession of teaching.
cycle path	Part of the road or a special path for the use of people riding bicycles.
ski run	A trail, slope, or course for skiing.
ecomuseum	A private, non-profit facility where plants and animals can be viewed in a natural outdoor setting.
folklore	The traditional and common beliefs, practices and customs of a people, which are passed on as a shared way of life, often through oral traditions such as folktales, legends, anecdotes, proverbs, jokes and other forms of communication.
country lodge	A small house or a hut located in the countryside.
lodging	Provision of accommodation for rest or for residence in a room or rooms or in a dwelling place.
public	The community or people in general or a part or section of the community grouped because of a common interest or activity.
path	A route or track between one place to another.
educational path	A guided trail, designed to explain to children a piece of countryside, the type of soil, flora, fauna, etc. Such trails may be self-guiding, using either explanatory notices set up at intervals or numbered boards referring to a printed leaflet: in other cases parties may be led by a demonstrator or warden.
seaside resort	A place near the sea where people spend their holidays and enjoy themselves.
winter sports resort	Resort where sports held in the open air on snow or ice, especially skiing are practiced.
all-terrain vehicle	A land carriage so constructed that it can be used on any kind of road or rough terrain and can be operated for many purposes, such as carrying goods, transporting the injured, conveying passengers, etc.
population density	The number of people relative to the space occupied by them.
young	Living being as genetically proceeding from an other one.
active population	The number of people available and eligible for employment within a given enterprise, region or nation.
time allocation	The act of assigning various hours of one's day, week or year to particular activities, especially those falling within the categories of work and leisure.
goods	A term of variable content and meaning. It may include every species of personal chattels or property. Items of merchandise, supplies, raw materials, or finished goods. Land is excluded.
goods and services	The total of economic assets, including both physical or storable objects and intangible acts of human assistance.
time budget	Determining or planning for allotment of time in hours, days, weeks, etc.
living environment	External conditions or surroundings in which people live or work.
product life cycle	A product life cycle includes the following phases: acquisition of raw materials, production, packaging, distribution, use, recyling, and disposal.
quality certification	The formal assertion in writing that a commodity, service or other product has attained a recognized and relatively high grade or level of excellence.
living standard	A measurement of the development level in a country or community, gauged by factors such as personal income, education, life expectancy, food consumption, health care, technology and the use of natural resources.
supply and demand	The relationship between the amount or quantity of a commodity that is available for purchase and the desire or ability of consumers to buy or purchase the commodity, which, in theory, determines the commodity's price in a free market.
ecological inequality	Any imbalance or disparity among inhabitants of the same living environment deemed inappropriate, unjust or detrimental to that environment's integrity.
social inequality	Unequal rewards or opportunities for different individuals within a group or groups within a society. If equality is judged in terms of legal equality, equality of opportunity, or equality of outcome, then inequality is a constant feature of the human condition.
myth	A traditional or legendary story, usually dealing with supernatural beings, ancestors, heroes or events, that is with or without determinable basis of fact or a natural explanation, but is used to explain some practice, rite or phenomenon of nature, or to justify the existence of a social institution.
social psychology	Study of the effects of social structure on cognition and behavior, of processes of face-to-face interaction, and of the negotiation of social order.
feeling for nature	A consciousness, sensibility or sympathetic perception of the physical world and its scenery in their uncultivated state.
socioeconomics	The study of the interaction between society and economy.
administrative deed	Any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.
territorial government	An administrative body or system in which political direction or control is exercised over a designated area or an administrative division of a city, county or larger geographical area.
citizen	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.
parliamentary debate	Formal discussion or dispute on a particular matter among the members of the parliament.
subsidiary principle	The fundamental doctrine or tenet that policy making decisions should be made at the most decentralized level, in which a centralized governing body would not take action unless it it is more effective than action taken at a lower government level.
national accounting	Organised method of recording all business transactions in the national economy.
satellite account	A separate financial record or statement that discloses financial activity in a particular area and supplements existing financial records.
household expenditure	Any spending done by a person living alone or by a group of people living together in shared accommodation and with common domestic expenses.
intervention fund	Money or financial resources set aside to interpose or interfere in any business affair in order to affect an outcome.
financial fund	Monetary resources set aside for some purpose.
International Monetary Fund	An international organization established in 1944, affiliated with the United Nations that acts as an international bank facilitating the exchange of national currencies and providing loans to member nations.
gross domestic product	The total output of goods and services produced by a national economy in a given period, usually a year, valued at market prices. It is gross, since no allowance is made, for the value of replacement capital goods.
process analysis	The examination of a process to understand it and therefore develop ideas for its improvement.
audit	The periodic or continuous verification of the accounts, assets and liabilities of a company or other organization, often to confirm compliance with legal and professional standards.
water cost	The value or the amount of money exchanged for the production and sustained supply of water.
ecomarketing	The marketing of products that are presumed to be environmentally safe.
market study	The gathering and studying of data to determine the projection of demand for an item or service.
free trade	Trade which is unimpeded by tariffs, import and export quotas and other measures which obstruct the free movement of goods and services between states.
calculation	The act, process or result of calculating.
density	The mass of a substance per unit volume.
index	A list of record surrogates arranged in order of some attribute expressible in machine-orderable form.
census survey	An official periodic count of a population including such information as sex, age, occupation, etc.
statistical series	An ordered sequence of data samples in numerical form used to predict or demonstrate trends through time and space.
opinion survey	The canvassing of a representative sample of a large group of people on some question in order to determine the general opinion of a group.
rate	The amount of change in some quantity during a time interval divided by the length of the time interval.
seasonal variation	In time series, that part of the movement which is assigned to the effect of the seasons on the year.
scientific committee	An organized group of persons elected or appointed to discuss scientific matters.
applied research	Research directed toward using knowledge gained by basic research to make things or to create situations that will serve a practical or utilitarian purpose.
scientific research	Systematic investigation to establish facts or principles concerning a specific scientific subject.
agronomy	The principles and procedures of soil management and of field crop and special-purpose plant improvement, management, and production.
agrosystem	Ecosystem dominated by the continuous agricultural intervention of man.
crop treatment	Use of chemicals in order to avoid damage of crops by insects or weeds.
aviculture	The raising, keeping, and care of birds.
transhumance	The seasonal migration of livestock to suitable grazing grounds.
mineral conditioner	Any naturally occurring inorganic substances with a definite chemical composition and usually of crystalline structure, such as rocks, which are used to stabilize soil, improving its resistance to erosion, texture and permeability.
slash and burn culture	A traditional farming system that has been used by generations of farmers in tropical forests and the savannah of north and east Africa. It is known to be an ecologically sound form of cultivation, and because the soil is poor in tropical rain forests it is a sustainable method of farming. It is still practised today, primarily in the developing countries. Small areas of bush or forests are cleared and the smaller trees burned. This unlocks the nutrients in the vegetation and gives the soil fertilizer that is easily taken up by plants. A few years later the soil is degraded and the farmer moves on to do the same at another site. The original ground is left fallow for anything up to 20 years so that the forest can regenerate. With the growth in population and in the subsequent need for more farming land to produce food, the method is increasingly being used today to clear large areas of tropical forests for cattle ranching, and in most cases the ground is not left fallow for long enough and, with modern mechanized farming systems, not enough tree stumps or suitable habitats for plant life are left to start the regeneration process.
chalk	A soft, pure, earthy, fine-textured, usually white to light gray or buff limestone of marine origin, consisting almost wholly (90-99%) of calcite.
organic matter	Plant and animal residue that decomposes and becomes a part of the soil.
drainage system	A surface stream, or a body of impounded surface water, together with all other such streams and water bodies that are tributary to it and by which a region is drained. An artificial drainage system includes also surface and subsurface conduits.
irrigation system	A system of man-made channels for supplying water to land to allow plants to grow.
soil salinity	Measurement of the quantity of mineral salts found in a soil. Many semi-arid and arid areas are naturally salty. By definition they are areas of substantial water deficit where evapotranspiration exceeds precipitation. Thus, whereas in humid areas there is sufficient water to percolate through the soil and to leach soluble materials from the soil and the rocks into the rivers and hence into the sea, in deserts this is not the case. Salts therefore tend to accumulate.
approach	The way or means of entry or access.
railway station	A place along a route or line at which a train stops to pick up or let off passengers or goods, especially with ancillary buildings and services.
bus station	A place along a route or line at which a bus stops for fuel or to pick up or let off passengers or goods, especially with ancillary buildings and services.
railway network	The whole system of railway distribution in a country.
road network	The system of roads through a country.
navigation	The science or art of conducting ships or aircraft from one place to another, esp. the method of determining position, course, and distance travelled over the surface of the earth by the principles of geometry and astronomy and by reference to devices (as radar beacons or instruments) designed as aids.
merchant shipping	Transportation of persons and goods by means of ships travelling along fixed navigation routes.
combined transport	Transport in which more than one carrier is used, e.g. road, rail and sea.
periurban space	Any expanse of land or region located on the outskirts of a city or town.
single family dwelling	An unattached dwelling unit inhabited by an adult person plus one or more related persons.
traditional architecture	Methods of construction which use locally available resources to address local needs.
building destruction	The tearing down of buildings by mechanical means.
building restoration	The accurate reestablishment of the form and details of a building, its artifacts, and the site on which it is located, usually as it appeared at a particular time.
ISO standard	Documented agreements containing technical specifications or other precise criteria to be used consistently as rules, guidelines, or definitions of characteristics, to ensure that materials, products, processes and services are fit for their purpose.
technical regulation	A government or management prescribed rule that provides detailed or stringent requirements, either directly or by referring to or incorporating the content of a standard, technical specification or code of practice.
codification	The process of collecting and arranging systematically, usually by subject, the laws of a state or country, or the rules and regulations covering a particular area or subject of law or practice.
animal rights	Just claims, legal guarantees or moral principles accorded to sentient, non-human species, including freedom from abuse, consumption, experimentation, use as clothing or performing for human entertainment.
citizen rights	Rights recognized and protected by law, pertaining to the members of a state.
notice	Factual information, advice or a written warning communicated to a person by an authorized source, often conveyed because of a legal or administrative rule requiring transmission of such information to all concerned parties.
order	A direction or command of a court. In this sense it is often used synonymously with judgment.
building permit	Authorization required by local governmental bodies for the erection of an enclosed structure or for the major alteration or expansion of an existing edifice.
law draft	The form in which proposed statutes, resolutions or special acts are introduced into a legislative body, before they are enacted or passed.
regulation	A specification of behavior used as an authoritative guide for conduct.
concession	Any rebate, abatement, voluntary grant of or a yielding to a demand or claim, typically made by a government or controlling authority to an individual or organization.
declaration of public utility	Administrative Act giving the right to take private property for public use.
public inquiry	An investigation, especially a formal one conducted into a matter of public utility by a body constituted for that purpose by a government, local authority, or other organization.
easement	The rights of use over the property of someone else; a burden on a piece of land causing the owner to suffer access by another.
crime	Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public.
criminal law procedure	The rules of law governing the procedure by which crimes are investigated, prosecuted, adjudicated, and punished.
conflict	A state of opposition or disagreement between ideas, interests, etc.
litigation	A judicial contest, a judicial controversy, a suit at law.
justice	The correct application of law as opposed to arbitrariness.
trial	A judicial examination and determination of issues between parties to action; whether they need issues of law or of fact. A judicial examination, in accordance with law of the land, of a cause, either civil or criminal, of the issues between the parties, whether of law or fact, before a court that has proper jurisdiction.
court	An organ of the government, belonging to the judicial department, whose function is the application of the laws to controversies brought before it and the public administration of justice.
lease	Agreement which gives rise to relationship of landlord and tenant (real property) or lessor and lessee (real or personal property). Contract for exclusive possession of lands or tenements for determinate period. Contract for possession and profits of lands and tenements either for life, or for certain period of time, or during the pleasure of the parties.
certification	The formal assertion in writing of some fact.
homologation	The granting of approval by an official authority.
pre-emption	The right of first refusal to purchase land in the event that the grantor of the right should decide to sell.
prescription	Acquisition of rights to the property caused by reason of continuous and prolonged use.
repression	The act, as by power or authority, of arresting or inhibiting the communication of ideas or facts as expressed in a practice, movement, publication or piece of evidence in a court proceeding.
devolution	The act of assigning or entrusting authority, powers or functions to another as deputy or agent, typically to a subordinate in the administrative structure of an organization or institution.
biomarker	A normal metabolite that, when present in abnormal concentrations in certain body fluids, can indicate the presence of a particular disease or toxicological condition.
quality objective	Any goal or target established for a product, service or endeavor that aspires to attain a relatively high grade or level of excellence.
solid particle	Any tiny or very small mass of material that has a definite volume and shape and resists forces that would alter its volume or shape.
sensor	The generic name for a device that senses either the absolute value or a change in a physical quantity such as temperature, pressure, flow rate, or pH, or the intensity of light, sound, or ratio waves and converts that change into a useful input signal for an information-gathering system.
instrumentation	Designing, manufacturing, and utilizing physical instruments or instrument systems for detection, observation, measurement, automatic control, automatic computation, communication, or data processing.
metrology	The science of measurement.
observation satellite	Man-made device that orbits the earth, receiving, processing and transmitting signals and generating images such as weather pictures.
atrazine	Herbicide belonging to the triazine group, widely employed and particularly in maize crops.
organic nitrogen	Essential nutrient of the food supply of plants and the diets of animals. Animals obtain it in nitrogen-containing compounds, particularly aminoacids. Although the atmosphere is nearly 80% gaseous nitrogen, very few organisms have the ability to use it in this form. The higher plants normally obtain it from the soil after microorganisms have converted the nitrogen into ammonia or nitrates, which they can then absorb. This conversion of nitrogen, known as nitrogen fixation, is essential for the formation of amino acids which, in turn, are the building blocks of proteins.
halogenated compound	A substance containing halogen atoms.
pyralene	Chemical compound belonging to the polychlorinated biphenyls family, used in the production of electrical equipment which requires dielectric fluid such as power transformers and capacitors, as well as in hydraulic machinery, vacuum pumps, compressors and heat-exchanger fluids.
asbestosis	A non-malignant progressive, irreversible, lung disease, characterized by diffuse fibrosis, resulting from the inhalation of asbestos fibers.
genotoxicity	The action of chemical, physical and biological agents that damage DNA.
intoxication	The state of being poisoned; the condition produced by a poison which may be swallowed, inhaled, injected, or absorbed through the skin.
total organic carbon	The amount of carbon covalently bound in organic compounds in a water sample.
laboratory test	A test, examination or evaluation performed in a laboratory.
biotic index	Scale for showing the quality of an environment by indicating the types of organisms present in it (e.g. how clean a river is).
photodegradation	The capability of being decomposed by prolonged exposure to light.
